X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_WYHpfXf1.Tumor.SM.GQB77,18.18,2.64,0.6,15.76,4.57,4.1,4.2,4.41,44.96,11.13,19.53,38.99,10.93,0.96,2.37,24.07,16.06,197.03,4.59,39.03,0.01,25.99,4.11,28.59,132.3,23.65,7.4,213.85,139.68,50.93,4.97,14.95,6.29,17.77,0.9,1.21,30.37,6.26,26.58,5.69,2.91,22.95,9.64,12.96,20.99,5.18,2.19,0.38,3.68,0.33
MBC.MBCProject_wKuwTYhK.Tumor.SM.GQCRI,1.13,4.76,5.29,2.03,1.16,7.9,0,1.67,40.1,11.77,0.52,5.44,0.05,3.14,2.9,34.15,16.57,480.82,1.06,1.78,88.86,76.73,8.06,4.3,110.26,22,0.23,79.36,57.17,6.92,0.15,0.04,13.67,0.37,0.96,4.77,3.01,0.09,44.5,6.22,7.2,0.89,18.2,0,3.52,1.03,44.39,18.84,7.86,0
MBC.MBCProject_OwuoTVhg.Tumor.SM.DL3OH,3.01,1.67,1.46,3.08,1.2,26.8,0.65,1.03,54.63,0.99,4.09,20.61,1.59,0.42,0.53,42.36,35.06,286.08,1.32,13.22,5.69,106.75,3.38,4.7,169.49,10.02,0.96,85.83,71.71,16.98,1.26,4.25,4.34,4.2,1.91,0.48,7.25,1.95,60.86,7.57,14.03,5.89,18.51,2.68,3.17,4.1,7.81,6.02,14.2,0.46
MBC.MBCProject_zatdFvhp.Tumor.SM.GQAAR,18.9,0.18,11.49,3.96,8.5,0.79,16.69,12.6,36.06,4.74,21.28,1.05,15.18,0.02,1.44,23.28,28.12,31.42,10.51,39.07,0.61,17.12,5.38,26.86,194.18,10.3,8.28,14.26,37.69,4.86,8.46,16.64,3.29,18.23,2.36,0.42,35.45,11.04,2.85,23.28,21.56,49.33,30.16,9.45,21.38,11.51,1.1,0.01,3.08,1.43
MBC.MBCProject_oqupfDu7.Tumor.SM.GQCOZ,90.22,5.15,25,36.64,18.02,42.37,14.57,16.33,58.11,7.95,19.03,127.15,44.95,0.13,3.33,49.72,21.55,307.17,31.37,116.12,7.1,78.15,27.71,29.25,266.35,18.01,9.79,27.46,64.19,11.92,17.48,29.25,5.52,41.18,2.13,21.77,42.52,29.24,5.61,15.56,1.82,73.45,17.78,33.2,72.38,26.96,1.74,0.99,6.62,1.8
MBC.MBCProject_oqupfDu7.Tumor.SM.GQCIP,7.49,2.18,7.45,3.61,5.91,0.83,1.86,3.67,22.65,8.59,3.97,4.69,7.9,1.69,2.06,32.41,18.42,124.63,3.13,10.7,2.11,27.68,10.32,5.83,184.12,12.33,2,14.75,48.84,6.88,4.38,3.53,16.93,10.52,1.04,58.72,14.02,7.49,0.94,4.11,8.02,17.55,28.81,4.34,8.3,5.66,2.2,0.12,4.51,0.79
MBC.MBCProject_MYuoCmI7.Tumor.SM.DL4R7,28.26,0.9,2.06,32.15,14.79,3.67,11.27,10.06,217.06,15.54,21.19,58.58,34.04,0.13,6.17,95.64,76.8,330.04,19.63,65.09,2.65,84.01,12.18,19.96,222.26,13.94,10.57,311.78,114.04,20.65,41.77,14.19,3.84,46.86,0,0.2,21.97,16.09,22.87,10.9,14.73,37.04,16.06,16.48,41.88,17.5,2.91,1.39,14.75,0.43
MBC.MBCProject_MmSBTJtJ.Tumor.SM.GQAGF,11.16,6.08,0.3,5.04,3.62,5.62,3.56,4.52,342.09,9.6,5.75,38.16,4.01,0.25,0.71,23.15,16.24,517.25,4.41,26.45,0.69,88.01,6.43,9.04,150.57,3.42,1.67,112.42,226.87,22.64,4.45,3.61,9.34,5.08,1.17,14.49,9.33,2.74,75.07,16.65,6.06,14.52,7.76,3.8,10.66,4.44,0.73,0.71,64.36,0.58
MBC.MBCProject_jmfDfEs8.Tumor.SM.GQ9Z3,9.27,1.59,27.47,7.53,4.04,1.91,6.83,6.76,96.44,23.19,73.69,285,10.48,4.42,2.18,61.68,45.03,320.38,5.33,23.94,71.64,54.31,4.26,9.67,125,18.31,4.6,37.64,1820.6,326.12,11.52,9.22,8.64,8.96,1.09,5,18.18,6.69,0.84,6.63,23.01,35.29,7.9,7.33,13.69,8.23,62.32,28.29,3.69,4.05
MBC.MBCProject_pMcWcrtZ.Tumor.SM.AZ5KE,71.16,35.32,60.33,7.26,53.7,0.44,23.42,10.34,5.8,73.06,15.01,93.5,15.34,24.58,12.68,19.57,22.55,18.2,28.75,139.44,288.09,0.48,2.8,33.76,122.76,14.22,23.35,18.29,61.1,35.85,32.47,10.54,17.57,42.9,0.62,2.52,69.5,19.1,0.64,5.36,2.11,118.97,1.14,27.03,63.4,47.24,55.55,50.51,1.2,73.11
MBC.MBCProject_x4cLHdhw.Tumor.SM.GQ9P1,17.78,2.37,9.7,9.11,5.75,23.46,7.72,12.96,46.82,11.01,2.94,238.53,9.81,0.82,1.22,21.43,28.15,350.54,4.17,33.48,23.95,99.62,16.48,20.6,238.55,26.11,6.24,87.57,88.01,10.29,6.51,7.24,7.9,19.87,1.4,5.71,10.29,10.48,37.23,10.64,17.46,14.26,20.12,8.68,12.11,12.73,23.55,8.22,86.47,1.52
MBC.MBCProject_rJHBiKTl.Tumor.SM.DL3K3,14.26,1.81,8.73,8.8,2.17,57.45,4.97,5.17,119.34,8.99,2.46,83.22,8.14,1.51,1.03,64.26,51.84,452.56,4.6,32.22,25.24,83.47,6.27,12.71,158.29,11.71,5.19,93.65,39.59,6.93,5.11,4.82,6.59,15.37,5.43,1.3,18.59,5.2,81.37,23.84,8.98,26.34,9.45,4.61,10.8,5.95,15.46,14.52,42.85,1.39
MBC.MBCProject_PkTDsOSa.Tumor.SM.GQ9X7,17.97,2.06,34.04,10.77,7.84,4,11.44,10.57,147.04,16.74,17.46,12.08,16.18,0.41,2.8,113.8,38.64,800.51,9.79,24.26,42.07,58.68,5.22,10.53,157.53,8.42,6.93,122.35,170.58,23.11,6.57,17.64,4.57,11.28,3.51,3.13,15.75,5.39,50.07,5.08,6.57,43.7,8.75,6.15,24.51,13.62,6.76,6.84,12.45,0.83
MBC.MBCProject_PkTDsOSa.Tumor.SM.GQBXL,32.65,1.36,22.94,23.31,13.03,0.53,13.63,9.29,60.81,27.71,11.31,1.38,13.21,0.53,4.41,115.9,21.57,934.71,5.61,26.34,22.12,90.17,7.49,9.17,168.51,14.54,10.47,206.52,228.43,13.16,5.1,14.72,5.66,16.69,12.15,6.98,8.7,9.78,10.39,5.63,1.34,40.47,34.08,8.16,15.49,10.18,18.16,10.81,7.01,0.67
MBC.MBCProject_nkU3hDhB.Tumor.SM.GQCKL,19.21,2.76,29.04,2.99,2.76,15.16,4.71,4.02,256.08,11.6,5.15,70.93,3.56,4.67,1.49,58.27,44.67,268.07,5.19,13.44,87.54,63,8.12,13.59,132.67,19.84,3.79,66.68,113.92,11.44,7.6,3.41,186.54,9.84,3.34,6.04,10.71,6.49,11.26,7.5,23,20.15,6.35,2.91,5.62,4.15,64.07,55.26,41.42,3.53
